zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-314.952,55.83076,-634852,2,20.0,10.0,622.007,4,0,4.519842,2268,6.336945
-314.7966,23.13824,-907174,1,30.0,15.0,553.0078,4,0,6.752514,4703,9.241696000000001
-314.1125,-37.91151,-906206,4,20.0,10.0,615.8447,7,0,4.519578,2499,2.785405
-308.3864,195.5789,-641364,2,36.0,18.0,1298.245,8,0,8.085087,5646,5.013028
-307.9952,-15.42706,-910254,4,20.0,10.0,604.5178,3,0,4.519261,2995,2.113513
-301.0576,-44.45748,-909462,1,20.0,10.0,595.1381,1,0,4.518746,7106,3.917767
-298.7142,-195.1054,-909286,2,20.0,10.0,619.8401,2,0,4.521536,3134,0.8500629999999999
-293.14099999999996,45.05368,-677330,0,37.0,19.51449,1073.141,9,0,8.723511,5329,3.867268
-288.0651,47.93678,-707210,5,20.0,9.553344000000001,1229.205,8,0,4.270605000000001,329,7.3341970000000005
-287.0282,41.41176,-840294,0,10.0,5.0,1156.714,4,0,2.287138,682,5.080798000000001
-286.9532,-23.758670000000002,-676362,0,44.0,21.25891,1040.673,1,0,9.503314999999999,6302,3.7933510000000004
-286.2603,74.26446999999999,-676186,0,36.0,13.02968,976.5366,7,0,5.824622,4716,4.072546
-286.1618,-116.8003,-913686,0,37.0,18.5,881.4556,8,0,8.308771,652,7.344367
-285.744,-165.0502,-675482,0,37.0,18.98956,943.9998,9,0,8.488847999999999,3938,3.346447
-285.4718,214.8972,-641540,0,37.0,16.95,1312.174,9,0,7.6696990000000005,3938,3.346447
-285.4677,-218.2652,-842494,1,20.0,2.423028,1060.927,3,0,1.0831600000000001,2995,2.113513
-285.4188,103.2791,-709586,9,37.0,19.6982,1998.352,7,0,8.805634,817,7.786792999999999
-285.3236,15.214360000000001,-839238,0,10.0,10.0,1195.931,4,0,4.526207,7303,5.851449
-284.3485,209.2519,-642156,1,34.0,17.0,1231.228,1,0,7.64225,1048,8.625082
-284.175,21.673389999999998,-705362,8,0.0,5.0,1061.903,7,0,2.286772,1497,5.038979
-283.9385,-197.2665,-675042,0,31.0,15.5,952.3167,3,0,6.971789,2257,4.851408999999999
-283.7681,-218.3407,-838710,3,20.0,5.505546,1062.3210000000001,8,0,2.461129,3715,9.096752
-283.4472,-16.94635,-676714,1,0.0,0.0,867.2036,3,0,0.06286531,4088,0.3196158
-283.4048,-250.438,-637316,1,30.0,15.0,891.0895,8,0,6.731841999999999,7336,7.434247999999999
-283.1926,-24.12771,-641892,0,38.0,17.53058,1376.1960000000001,8,0,7.836647999999999,705,2.098505
-283.1005,25.999470000000002,-705450,1,10.0,10.0,1222.961,6,0,4.5203,2138,5.405807
-283.0302,-48.42962,-674602,4,40.0,15.8034,948.8892,6,0,7.064547999999999,3602,4.342715
-282.8438,-13.925770000000002,-911222,1,0.0,0.2748719,836.703,1,0,0.12287519999999999,3692,8.432408
-282.6906,108.3828,-674954,0,33.0,16.5,995.4696,6,0,7.4208050000000005,5289,0.7448353
-282.1186,-130.0895,-677066,1,35.0,16.38038,1055.005,7,0,7.322477,7185,1.634716
-281.5676,103.7092,-673986,6,20.0,12.0814,676.4481,2,0,5.400714,3715,4.5735589999999995
