zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce,,50_60 AVG VELOCITY
-314.1881,-216.8983,-233998,0,20,10,1049.535,4,0,4.514334,682,5.080798,,5.20983895
-312.2614,73.80721,-294324,2,0,0.1368232,655.0433,6,0,0.06116368,7014,5.835563,,
-311.9317,75.35738,-293356,2,0,0,817.6075,6,0,0.06326414,508,3.220693,,50_30 AVG VELOCITY
-303.9827,-4.33252,-234878,0,40,12.94469,1604.264,2,0,5.786632,493,2.751297,,5.957338504
-302.2146,-15.14457,-203000,1,20,9.999998,950.9835,8,0,4.531443,7102,2.801346,,50_100 AVG VELOCITY
-285.909,-197.2219,-234350,2,0,0,702.1881,2,0,0.1997173,1298,2.323268,,4.509007133
-285.6323,-199.2335,-233030,2,20,0.4738565,794.8508,4,0,0.2118268,3187,1.346459,,100_30 AVG VELOCITY
-285.5971,-19.41679,-204760,0,20,8.451448,915.2155,4,0,3.778028,682,5.080798,,5.552869356
-284.8719,56.44821,-204408,3,20,10,1052.517,9,0,4.518219,2105,5.804913,,100_60 AVG VELOCITY
-284.7776,-194.5703,-263944,1,42,15.44479,1891.979,7,0,6.904243,1497,5.038979,,5.055949281
-284.6221,68.24741,-293268,2,41,14.51374,1831.968,3,0,6.488039,3576,6.807281,,100_100 AVG VELOCITY
-284.2719,-193.9471,-291156,0,20,9.999998,1151.137,8,0,4.517074,2122,4.190197,,4.45289292
-284.1101,-113.0756,-176498,0,39,29.79816,1472.118,6,0,13.32059,5725,2.193673,,200_30 AVG VELOCITY
-283.752,-81.12411,-176234,1,39,13.82239,1561.798,6,0,6.178987,508,3.220693,,5.294008881
-282.6742,207.1382,-264912,0,32,16,1579.543,8,0,7.196329,4098,7.105482,,200_60 AVG VELOCITY
-280.7852,-282.0884,-177378,0,42,8.639956,1415.177,7,0,3.862296,3437,6.234212,,4.990114625
-264.5772,195.4512,-234966,0,38,19,1591.824,7,0,8.534453,2676,3.633125,,200_100 AVG VELOCITY
-262.5159,75.37988,-203792,0,20,10,990.3789,4,0,4.519993,3187,1.346459,,4.447356259
-259.9031,-277.445,-293972,0,40,12.19171,1736.118,1,0,5.450029,7106,3.917767,,
-259.7893,-255.1787,-263856,1,43,15.84823,1653.976,5,0,7.084589,3030,0.3790552,,
-258.0956,-75.60516,-176674,0,35,16.31661,1471.961,2,0,7.293968,3134,0.850063,,
-256.1626,-261.4138,-262976,0,20,10,1127.925,2,0,4.524094,7028,0.2382524,,
-255.7762,-14.39022,-206168,0,40,14.5364,1805.892,1,0,6.498165,7106,3.917767,,
-255.1664,33.16571,-174650,0,20,10,830.4329,2,0,4.521996,977,2.548617,,
-255.0552,-98.70574,-264648,1,35,11.03677,1587.848,2,0,4.933735,3134,0.850063,,
-253.2108,-38.34744,-205992,1,35,17.5,1532.876,2,0,7.863484,3134,0.850063,,
-246.8733,75.06435,-235934,2,42,14.49539,1433.674,7,0,6.479833,3437,6.234212,,
-225.5823,122.3688,-291244,1,20,15.8154,1029.87,5,0,7.069917,6295,6.129537,,
-225.025,-49.12283,-292740,1,10,8.135298,961.0273,3,0,3.6367,7223,1.859479,,
-223.8419,-135.8976,-234614,0,33,11.71444,1434.947,6,0,5.236673,2138,5.405807,,
-223.7524,-190.3082,-290980,0,20,10,1037.618,8,0,4.523173,3715,9.096752,,
-219.2512,195.4335,-233118,1,0,0,821.3129,4,0,0.07181625,4703,9.241696,,
-216.9995,135.3037,-205200,0,43,21.5,1609.671,5,0,9.646158,3030,0.3790552,,
-209.3134,-75.55923,-176410,0,38,19,1518.107,7,0,8.535491,2676,3.633125,,
-204.4422,261.6067,-294148,0,35,8.866317,852.2534,2,0,3.963485,139,6.837638,,
-202.6663,105.4509,-262712,0,20,10,1036.874,4,0,4.516826,1118,5.458315,,
-198.9846,136.3931,-262096,0,20,9.456058,1016.226,5,0,4.227115,6295,6.129537,,
-195.7171,98.95738,-203968,0,20,10,1097.959,2,0,4.521304,977,2.548617,,
-195.0332,191.4082,-204144,0,20,10.13039,1057.546,7,0,4.528563,6701,0.2450349,,
-194.0964,36.88856,-292212,0,20,10,1107.159,9,0,6.108876,2105,5.804913,,
-194.0387,-82.15025,-206344,1,35,12.87986,952.7179,2,0,5.757649,139,6.837638,,
-190.7512,-106.3781,-232326,0,20,10,988.5894,3,0,4.519103,5870,0.502775,,
-187.3268,103.549,-173770,0,20,10,946.9932,3,0,4.573441,5870,0.502775,,
-181.8807,105.8337,-232502,1,20,10,858.6105,4,0,4.517822,7020,0.9956384,,
-181.4323,164.2877,-203088,0,20,15.26004,1020.757,3,0,6.821654,5870,0.502775,,
-177.1299,-13.61056,-262184,1,10,10,1051.111,6,0,4.530524,1361,5.464564,,
-170.5884,46.4824,-294500,0,42,20.99034,1793.389,7,0,9.383254,3437,6.234212,,
-169.1825,-134.0637,-290364,1,20,11.42424,948.9771,4,0,5.106945,2268,6.336945,,
-167.6435,197.6656,-174826,2,20,10,576.2508,7,0,4.517556,6701,0.2450349,,
-166.8087,103.4099,-235142,1,43,4.487848,842.7343,3,0,2.006191,138,4.220197,,
-165.7783,-43.4351,-234174,3,20,11.25332,1009.737,3,0,5.03054,7223,1.859479,,
-163.699,91.73599,-202560,0,20,10,1038.803,4,0,4.571558,2268,6.336945,,
